,conId,symbol,secType,lastTradeDateOrContractMonth,strike,right,multiplier,exchange,primaryExchange,currency,localSymbol,tradingClass,includeExpired,secIdType,secId,comboLegsDescrip,comboLegs,underComp
36,249217497,AAPL,OPT,2019/1/18,165,P,100,SMART,,USD,AAPL  190118P00165000,AAPL,FALSE,,,,,
37,251503195,AAPL,OPT,2019/1/18,170,C,100,SMART,,USD,AAPL  190118C00170000,AAPL,FALSE,,,,,
38,260008764,AAPL,OPT,2019/1/18,175,C,100,SMART,,USD,AAPL  190118C00175000,AAPL,FALSE,,,,,
39,260008769,AAPL,OPT,2019/1/18,175,P,100,SMART,,USD,AAPL  190118P00175000,AAPL,FALSE,,,,,
40,264457796,AAPL,OPT,2019/1/18,180,C,100,SMART,,USD,AAPL  190118C00180000,AAPL,FALSE,,,,,
41,264457803,AAPL,OPT,2019/1/18,180,P,100,SMART,,USD,AAPL  190118P00180000,AAPL,FALSE,,,,,
42,264827109,AAPL,OPT,2019/1/18,185,C,100,SMART,,USD,AAPL  190118C00185000,AAPL,FALSE,,,,,
43,264827114,AAPL,OPT,2019/1/18,190,C,100,SMART,,USD,AAPL  190118C00190000,AAPL,FALSE,,,,,
44,264827121,AAPL,OPT,2019/1/18,190,P,100,SMART,,USD,AAPL  190118P00190000,AAPL,FALSE,,,,,
45,264991577,AAPL,OPT,2019/1/18,195,C,100,SMART,,USD,AAPL  190118C00195000,AAPL,FALSE,,,,,
46,265160064,AAPL,OPT,2018/6/15,110,C,100,SMART,,USD,AAPL  180615C00110000,AAPL,FALSE,,,,,
47,265160079,AAPL,OPT,2018/6/15,125,C,100,SMART,,USD,AAPL  180615C00125000,AAPL,FALSE,,,,,
48,265160081,AAPL,OPT,2018/6/15,130,C,100,SMART,,USD,AAPL  180615C00130000,AAPL,FALSE,,,,,
49,265160084,AAPL,OPT,2018/6/15,135,C,100,SMART,,USD,AAPL  180615C00135000,AAPL,FALSE,,,,,
50,265160098,AAPL,OPT,2018/6/15,145,C,100,SMART,,USD,AAPL  180615C00145000,AAPL,FALSE,,,,,
51,265160103,AAPL,OPT,2018/6/15,150,C,100,SMART,,USD,AAPL  180615C00150000,AAPL,FALSE,,,,,
52,265160104,AAPL,OPT,2018/6/15,155,C,100,SMART,,USD,AAPL  180615C00155000,AAPL,FALSE,,,,,
53,265160109,AAPL,OPT,2018/6/15,160,C,100,SMART,,USD,AAPL  180615C00160000,AAPL,FALSE,,,,,
54,265160115,AAPL,OPT,2018/6/15,165,C,100,SMART,,USD,AAPL  180615C00165000,AAPL,FALSE,,,,,
55,265160139,AAPL,OPT,2018/6/15,190,C,100,SMART,,USD,AAPL  180615C00190000,AAPL,FALSE,,,,,
56,265160142,AAPL,OPT,2018/6/15,195,C,100,SMART,,USD,AAPL  180615C00195000,AAPL,FALSE,,,,,
57,265160144,AAPL,OPT,2018/6/15,70,C,100,SMART,,USD,AAPL  180615C00070000,AAPL,FALSE,,,,,
58,265160149,AAPL,OPT,2018/6/15,75,C,100,SMART,,USD,AAPL  180615C00075000,AAPL,FALSE,,,,,
59,265160154,AAPL,OPT,2018/6/15,80,C,100,SMART,,USD,AAPL  180615C00080000,AAPL,FALSE,,,,,
60,265160163,AAPL,OPT,2018/6/15,85,C,100,SMART,,USD,AAPL  180615C00085000,AAPL,FALSE,,,,,
61,265160166,AAPL,OPT,2018/6/15,90,C,100,SMART,,USD,AAPL  180615C00090000,AAPL,FALSE,,,,,
62,265160169,AAPL,OPT,2018/6/15,95,C,100,SMART,,USD,AAPL  180615C00095000,AAPL,FALSE,,,,,
63,265160178,AAPL,OPT,2018/6/15,105,P,100,SMART,,USD,AAPL  180615P00105000,AAPL,FALSE,,,,,
64,265160193,AAPL,OPT,2018/6/15,120,P,100,SMART,,USD,AAPL  180615P00120000,AAPL,FALSE,,,,,
65,265160196,AAPL,OPT,2018/6/15,125,P,100,SMART,,USD,AAPL  180615P00125000,AAPL,FALSE,,,,,
66,265160203,AAPL,OPT,2018/6/15,130,P,100,SMART,,USD,AAPL  180615P00130000,AAPL,FALSE,,,,,
67,265160206,AAPL,OPT,2018/6/15,135,P,100,SMART,,USD,AAPL  180615P00135000,AAPL,FALSE,,,,,
68,265160208,AAPL,OPT,2018/6/15,140,P,100,SMART,,USD,AAPL  180615P00140000,AAPL,FALSE,,,,,
69,265160213,AAPL,OPT,2018/6/15,145,P,100,SMART,,USD,AAPL  180615P00145000,AAPL,FALSE,,,,,
70,265160218,AAPL,OPT,2018/6/15,150,P,100,SMART,,USD,AAPL  180615P00150000,AAPL,FALSE,,,,,
71,265160223,AAPL,OPT,2018/6/15,155,P,100,SMART,,USD,AAPL  180615P00155000,AAPL,FALSE,,,,,
72,265160230,AAPL,OPT,2018/6/15,160,P,100,SMART,,USD,AAPL  180615P00160000,AAPL,FALSE,,,,,
73,265160233,AAPL,OPT,2018/6/15,165,P,100,SMART,,USD,AAPL  180615P00165000,AAPL,FALSE,,,,,
74,265160236,AAPL,OPT,2018/6/15,170,P,100,SMART,,USD,AAPL  180615P00170000,AAPL,FALSE,,,,,
75,265160242,AAPL,OPT,2018/6/15,175,P,100,SMART,,USD,AAPL  180615P00175000,AAPL,FALSE,,,,,
76,265160247,AAPL,OPT,2018/6/15,180,P,100,SMART,,USD,AAPL  180615P00180000,AAPL,FALSE,,,,,
77,265160248,AAPL,OPT,2018/6/15,185,P,100,SMART,,USD,AAPL  180615P00185000,AAPL,FALSE,,,,,
78,265160253,AAPL,OPT,2018/6/15,190,P,100,SMART,,USD,AAPL  180615P00190000,AAPL,FALSE,,,,,
79,265160261,AAPL,OPT,2018/6/15,195,P,100,SMART,,USD,AAPL  180615P00195000,AAPL,FALSE,,,,,
80,265160266,AAPL,OPT,2018/6/15,70,P,100,SMART,,USD,AAPL  180615P00070000,AAPL,FALSE,,,,,
81,265160271,AAPL,OPT,2018/6/15,75,P,100,SMART,,USD,AAPL  180615P00075000,AAPL,FALSE,,,,,
82,265160273,AAPL,OPT,2018/6/15,80,P,100,SMART,,USD,AAPL  180615P00080000,AAPL,FALSE,,,,,
83,265160276,AAPL,OPT,2018/6/15,85,P,100,SMART,,USD,AAPL  180615P00085000,AAPL,FALSE,,,,,
84,265160283,AAPL,OPT,2018/6/15,90,P,100,SMART,,USD,AAPL  180615P00090000,AAPL,FALSE,,,,,
85,265160286,AAPL,OPT,2018/6/15,95,P,100,SMART,,USD,AAPL  180615P00095000,AAPL,FALSE,,,,,
86,268325708,AAPL,OPT,2019/1/18,200,C,100,SMART,,USD,AAPL  190118C00200000,AAPL,FALSE,,,,,
87,270640845,AAPL,OPT,2018/6/15,210,C,100,SMART,,USD,AAPL  180615C00210000,AAPL,FALSE,,,,,
88,270640864,AAPL,OPT,2019/1/18,210,C,100,SMART,,USD,AAPL  190118C00210000,AAPL,FALSE,,,,,
89,275652507,AAPL,OPT,2018/6/15,205,C,100,SMART,,USD,AAPL  180615C00205000,AAPL,FALSE,,,,,
90,275652531,AAPL,OPT,2018/6/15,215,C,100,SMART,,USD,AAPL  180615C00215000,AAPL,FALSE,,,,,
91,275652545,AAPL,OPT,2018/6/15,220,C,100,SMART,,USD,AAPL  180615C00220000,AAPL,FALSE,,,,,
92,275652555,AAPL,OPT,2018/6/15,225,C,100,SMART,,USD,AAPL  180615C00225000,AAPL,FALSE,,,,,
93,275652570,AAPL,OPT,2018/6/15,230,C,100,SMART,,USD,AAPL  180615C00230000,AAPL,FALSE,,,,,
94,275652588,AAPL,OPT,2018/6/15,235,C,100,SMART,,USD,AAPL  180615C00235000,AAPL,FALSE,,,,,
95,275652612,AAPL,OPT,2018/6/15,240,C,100,SMART,,USD,AAPL  180615C00240000,AAPL,FALSE,,,,,
96,275652639,AAPL,OPT,2018/6/15,245,C,100,SMART,,USD,AAPL  180615C00245000,AAPL,FALSE,,,,,
97,275652652,AAPL,OPT,2018/6/15,250,C,100,SMART,,USD,AAPL  180615C00250000,AAPL,FALSE,,,,,
98,275652739,AAPL,OPT,2018/6/15,215,P,100,SMART,,USD,AAPL  180615P00215000,AAPL,FALSE,,,,,
99,275652748,AAPL,OPT,2018/6/15,220,P,100,SMART,,USD,AAPL  180615P00220000,AAPL,FALSE,,,,,
100,275652759,AAPL,OPT,2018/6/15,225,P,100,SMART,,USD,AAPL  180615P00225000,AAPL,FALSE,,,,,
101,275652779,AAPL,OPT,2018/6/15,235,P,100,SMART,,USD,AAPL  180615P00235000,AAPL,FALSE,,,,,
102,275652789,AAPL,OPT,2018/6/15,240,P,100,SMART,,USD,AAPL  180615P00240000,AAPL,FALSE,,,,,
103,275652822,AAPL,OPT,2019/1/18,205,C,100,SMART,,USD,AAPL  190118C00205000,AAPL,FALSE,,,,,
104,275652825,AAPL,OPT,2019/1/18,215,C,100,SMART,,USD,AAPL  190118C00215000,AAPL,FALSE,,,,,
105,275652828,AAPL,OPT,2019/1/18,220,C,100,SMART,,USD,AAPL  190118C00220000,AAPL,FALSE,,,,,
106,275652832,AAPL,OPT,2019/1/18,225,C,100,SMART,,USD,AAPL  190118C00225000,AAPL,FALSE,,,,,
107,275652837,AAPL,OPT,2019/1/18,230,C,100,SMART,,USD,AAPL  190118C00230000,AAPL,FALSE,,,,,
108,275652847,AAPL,OPT,2019/1/18,240,C,100,SMART,,USD,AAPL  190118C00240000,AAPL,FALSE,,,,,
109,275652849,AAPL,OPT,2019/1/18,245,C,100,SMART,,USD,AAPL  190118C00245000,AAPL,FALSE,,,,,
110,275652859,AAPL,OPT,2019/1/18,205,P,100,SMART,,USD,AAPL  190118P00205000,AAPL,FALSE,,,,,
111,275652862,AAPL,OPT,2019/1/18,215,P,100,SMART,,USD,AAPL  190118P00215000,AAPL,FALSE,,,,,
112,275652864,AAPL,OPT,2019/1/18,220,P,100,SMART,,USD,AAPL  190118P00220000,AAPL,FALSE,,,,,
113,275652869,AAPL,OPT,2019/1/18,225,P,100,SMART,,USD,AAPL  190118P00225000,AAPL,FALSE,,,,,
114,275652874,AAPL,OPT,2019/1/18,230,P,100,SMART,,USD,AAPL  190118P00230000,AAPL,FALSE,,,,,
115,275652879,AAPL,OPT,2019/1/18,235,P,100,SMART,,USD,AAPL  190118P00235000,AAPL,FALSE,,,,,
116,275652881,AAPL,OPT,2019/1/18,240,P,100,SMART,,USD,AAPL  190118P00240000,AAPL,FALSE,,,,,
117,275652884,AAPL,OPT,2019/1/18,245,P,100,SMART,,USD,AAPL  190118P00245000,AAPL,FALSE,,,,,
118,275652891,AAPL,OPT,2019/1/18,250,P,100,SMART,,USD,AAPL  190118P00250000,AAPL,FALSE,,,,,
119,277678710,AAPL,OPT,2018/9/21,105,C,100,SMART,,USD,AAPL  180921C00105000,AAPL,FALSE,,,,,
120,277678713,AAPL,OPT,2018/9/21,110,C,100,SMART,,USD,AAPL  180921C00110000,AAPL,FALSE,,,,,
121,277678723,AAPL,OPT,2018/9/21,120,C,100,SMART,,USD,AAPL  180921C00120000,AAPL,FALSE,,,,,
122,277678732,AAPL,OPT,2018/9/21,135,C,100,SMART,,USD,AAPL  180921C00135000,AAPL,FALSE,,,,,
123,277678738,AAPL,OPT,2018/9/21,140,C,100,SMART,,USD,AAPL  180921C00140000,AAPL,FALSE,,,,,
124,277678753,AAPL,OPT,2018/9/21,160,C,100,SMART,,USD,AAPL  180921C00160000,AAPL,FALSE,,,,,
125,277678756,AAPL,OPT,2018/9/21,165,C,100,SMART,,USD,AAPL  180921C00165000,AAPL,FALSE,,,,,
126,277678763,AAPL,OPT,2018/9/21,170,C,100,SMART,,USD,AAPL  180921C00170000,AAPL,FALSE,,,,,
127,277678778,AAPL,OPT,2018/9/21,190,C,100,SMART,,USD,AAPL  180921C00190000,AAPL,FALSE,,,,,
128,277678783,AAPL,OPT,2018/9/21,195,C,100,SMART,,USD,AAPL  180921C00195000,AAPL,FALSE,,,,,
129,277678786,AAPL,OPT,2018/9/21,200,C,100,SMART,,USD,AAPL  180921C00200000,AAPL,FALSE,,,,,
130,277678791,AAPL,OPT,2018/9/21,205,C,100,SMART,,USD,AAPL  180921C00205000,AAPL,FALSE,,,,,
131,277678792,AAPL,OPT,2018/9/21,210,C,100,SMART,,USD,AAPL  180921C00210000,AAPL,FALSE,,,,,
132,277678797,AAPL,OPT,2018/9/21,215,C,100,SMART,,USD,AAPL  180921C00215000,AAPL,FALSE,,,,,
133,277678803,AAPL,OPT,2018/9/21,220,C,100,SMART,,USD,AAPL  180921C00220000,AAPL,FALSE,,,,,
134,277678806,AAPL,OPT,2018/9/21,225,C,100,SMART,,USD,AAPL  180921C00225000,AAPL,FALSE,,,,,
135,277678809,AAPL,OPT,2018/9/21,230,C,100,SMART,,USD,AAPL  180921C00230000,AAPL,FALSE,,,,,
136,277678816,AAPL,OPT,2018/9/21,240,C,100,SMART,,USD,AAPL  180921C00240000,AAPL,FALSE,,,,,
137,277678826,AAPL,OPT,2018/9/21,250,C,100,SMART,,USD,AAPL  180921C00250000,AAPL,FALSE,,,,,
138,277678831,AAPL,OPT,2018/9/21,75,C,100,SMART,,USD,AAPL  180921C00075000,AAPL,FALSE,,,,,
139,277678836,AAPL,OPT,2018/9/21,85,C,100,SMART,,USD,AAPL  180921C00085000,AAPL,FALSE,,,,,
140,277678846,AAPL,OPT,2018/9/21,95,C,100,SMART,,USD,AAPL  180921C00095000,AAPL,FALSE,,,,,
141,277678848,AAPL,OPT,2018/9/21,100,P,100,SMART,,USD,AAPL  180921P00100000,AAPL,FALSE,,,,,
142,277678853,AAPL,OPT,2018/9/21,105,P,100,SMART,,USD,AAPL  180921P00105000,AAPL,FALSE,,,,,
143,277678858,AAPL,OPT,2018/9/21,110,P,100,SMART,,USD,AAPL  180921P00110000,AAPL,FALSE,,,,,
144,277678863,AAPL,OPT,2018/9/21,115,P,100,SMART,,USD,AAPL  180921P00115000,AAPL,FALSE,,,,,
145,277678865,AAPL,OPT,2018/9/21,120,P,100,SMART,,USD,AAPL  180921P00120000,AAPL,FALSE,,,,,
146,277678868,AAPL,OPT,2018/9/21,125,P,100,SMART,,USD,AAPL  180921P00125000,AAPL,FALSE,,,,,
147,277678875,AAPL,OPT,2018/9/21,130,P,100,SMART,,USD,AAPL  180921P00130000,AAPL,FALSE,,,,,
148,277678878,AAPL,OPT,2018/9/21,135,P,100,SMART,,USD,AAPL  180921P00135000,AAPL,FALSE,,,,,
149,277678882,AAPL,OPT,2018/9/21,140,P,100,SMART,,USD,AAPL  180921P00140000,AAPL,FALSE,,,,,
150,277678887,AAPL,OPT,2018/9/21,145,P,100,SMART,,USD,AAPL  180921P00145000,AAPL,FALSE,,,,,
151,277678888,AAPL,OPT,2018/9/21,150,P,100,SMART,,USD,AAPL  180921P00150000,AAPL,FALSE,,,,,
152,277678893,AAPL,OPT,2018/9/21,155,P,100,SMART,,USD,AAPL  180921P00155000,AAPL,FALSE,,,,,
153,277678899,AAPL,OPT,2018/9/21,160,P,100,SMART,,USD,AAPL  180921P00160000,AAPL,FALSE,,,,,
154,277678902,AAPL,OPT,2018/9/21,165,P,100,SMART,,USD,AAPL  180921P00165000,AAPL,FALSE,,,,,
155,277678905,AAPL,OPT,2018/9/21,170,P,100,SMART,,USD,AAPL  180921P00170000,AAPL,FALSE,,,,,
156,277678908,AAPL,OPT,2018/9/21,175,P,100,SMART,,USD,AAPL  180921P00175000,AAPL,FALSE,,,,,
157,277678913,AAPL,OPT,2018/9/21,180,P,100,SMART,,USD,AAPL  180921P00180000,AAPL,FALSE,,,,,
158,277678916,AAPL,OPT,2018/9/21,185,P,100,SMART,,USD,AAPL  180921P00185000,AAPL,FALSE,,,,,
159,277678923,AAPL,OPT,2018/9/21,190,P,100,SMART,,USD,AAPL  180921P00190000,AAPL,FALSE,,,,,
160,277678926,AAPL,OPT,2018/9/21,195,P,100,SMART,,USD,AAPL  180921P00195000,AAPL,FALSE,,,,,
161,277678928,AAPL,OPT,2018/9/21,200,P,100,SMART,,USD,AAPL  180921P00200000,AAPL,FALSE,,,,,
162,277678933,AAPL,OPT,2018/9/21,205,P,100,SMART,,USD,AAPL  180921P00205000,AAPL,FALSE,,,,,
163,277678938,AAPL,OPT,2018/9/21,210,P,100,SMART,,USD,AAPL  180921P00210000,AAPL,FALSE,,,,,
164,277678943,AAPL,OPT,2018/9/21,215,P,100,SMART,,USD,AAPL  180921P00215000,AAPL,FALSE,,,,,
165,277678947,AAPL,OPT,2018/9/21,220,P,100,SMART,,USD,AAPL  180921P00220000,AAPL,FALSE,,,,,
166,277678950,AAPL,OPT,2018/9/21,225,P,100,SMART,,USD,AAPL  180921P00225000,AAPL,FALSE,,,,,
167,277678953,AAPL,OPT,2018/9/21,230,P,100,SMART,,USD,AAPL  180921P00230000,AAPL,FALSE,,,,,
168,277678956,AAPL,OPT,2018/9/21,235,P,100,SMART,,USD,AAPL  180921P00235000,AAPL,FALSE,,,,,
169,277678962,AAPL,OPT,2018/9/21,240,P,100,SMART,,USD,AAPL  180921P00240000,AAPL,FALSE,,,,,
170,277678967,AAPL,OPT,2018/9/21,245,P,100,SMART,,USD,AAPL  180921P00245000,AAPL,FALSE,,,,,
171,277678968,AAPL,OPT,2018/9/21,250,P,100,SMART,,USD,AAPL  180921P00250000,AAPL,FALSE,,,,,
172,277678973,AAPL,OPT,2018/9/21,75,P,100,SMART,,USD,AAPL  180921P00075000,AAPL,FALSE,,,,,
173,277678984,AAPL,OPT,2018/9/21,90,P,100,SMART,,USD,AAPL  180921P00090000,AAPL,FALSE,,,,,
174,277678989,AAPL,OPT,2018/9/21,95,P,100,SMART,,USD,AAPL  180921P00095000,AAPL,FALSE,,,,,
567,304357521,AAPL,OPT,2018/3/9,147,C,100,SMART,,USD,AAPL  180309C00147000,AAPL,FALSE,,,,,
568,304357524,AAPL,OPT,2018/3/9,148,C,100,SMART,,USD,AAPL  180309C00148000,AAPL,FALSE,,,,,
569,304357534,AAPL,OPT,2018/3/9,150,C,100,SMART,,USD,AAPL  180309C00150000,AAPL,FALSE,,,,,
570,304357538,AAPL,OPT,2018/3/9,152.5,C,100,SMART,,USD,AAPL  180309C00152500,AAPL,FALSE,,,,,
571,304357549,AAPL,OPT,2018/3/9,160,C,100,SMART,,USD,AAPL  180309C00160000,AAPL,FALSE,,,,,
572,304357561,AAPL,OPT,2018/3/9,167.5,C,100,SMART,,USD,AAPL  180309C00167500,AAPL,FALSE,,,,,
573,304357569,AAPL,OPT,2018/3/9,172.5,C,100,SMART,,USD,AAPL  180309C00172500,AAPL,FALSE,,,,,
574,304357572,AAPL,OPT,2018/3/9,175,C,100,SMART,,USD,AAPL  180309C00175000,AAPL,FALSE,,,,,
575,304357579,AAPL,OPT,2018/3/9,177.5,C,100,SMART,,USD,AAPL  180309C00177500,AAPL,FALSE,,,,,
576,304357582,AAPL,OPT,2018/3/9,180,C,100,SMART,,USD,AAPL  180309C00180000,AAPL,FALSE,,,,,
577,304357594,AAPL,OPT,2018/3/9,187.5,C,100,SMART,,USD,AAPL  180309C00187500,AAPL,FALSE,,,,,
578,304357603,AAPL,OPT,2018/3/9,192.5,C,100,SMART,,USD,AAPL  180309C00192500,AAPL,FALSE,,,,,
579,304357606,AAPL,OPT,2018/3/9,195,C,100,SMART,,USD,AAPL  180309C00195000,AAPL,FALSE,,,,,
580,304357612,AAPL,OPT,2018/3/9,200,C,100,SMART,,USD,AAPL  180309C00200000,AAPL,FALSE,,,,,
581,304357618,AAPL,OPT,2018/3/9,202.5,C,100,SMART,,USD,AAPL  180309C00202500,AAPL,FALSE,,,,,
582,304357623,AAPL,OPT,2018/3/9,205,C,100,SMART,,USD,AAPL  180309C00205000,AAPL,FALSE,,,,,
583,304357629,AAPL,OPT,2018/3/9,210,C,100,SMART,,USD,AAPL  180309C00210000,AAPL,FALSE,,,,,
584,304357638,AAPL,OPT,2018/3/9,147,P,100,SMART,,USD,AAPL  180309P00147000,AAPL,FALSE,,,,,
585,304357641,AAPL,OPT,2018/3/9,148,P,100,SMART,,USD,AAPL  180309P00148000,AAPL,FALSE,,,,,
586,304357644,AAPL,OPT,2018/3/9,149,P,100,SMART,,USD,AAPL  180309P00149000,AAPL,FALSE,,,,,
587,304357650,AAPL,OPT,2018/3/9,150,P,100,SMART,,USD,AAPL  180309P00150000,AAPL,FALSE,,,,,
588,304357656,AAPL,OPT,2018/3/9,155,P,100,SMART,,USD,AAPL  180309P00155000,AAPL,FALSE,,,,,
589,304357661,AAPL,OPT,2018/3/9,157.5,P,100,SMART,,USD,AAPL  180309P00157500,AAPL,FALSE,,,,,
590,304357665,AAPL,OPT,2018/3/9,160,P,100,SMART,,USD,AAPL  180309P00160000,AAPL,FALSE,,,,,
591,304357675,AAPL,OPT,2018/3/9,165,P,100,SMART,,USD,AAPL  180309P00165000,AAPL,FALSE,,,,,
592,304357680,AAPL,OPT,2018/3/9,170,P,100,SMART,,USD,AAPL  180309P00170000,AAPL,FALSE,,,,,
593,304357690,AAPL,OPT,2018/3/9,175,P,100,SMART,,USD,AAPL  180309P00175000,AAPL,FALSE,,,,,
594,304357698,AAPL,OPT,2018/3/9,180,P,100,SMART,,USD,AAPL  180309P00180000,AAPL,FALSE,,,,,
595,304357703,AAPL,OPT,2018/3/9,182.5,P,100,SMART,,USD,AAPL  180309P00182500,AAPL,FALSE,,,,,
596,304357704,AAPL,OPT,2018/3/9,185,P,100,SMART,,USD,AAPL  180309P00185000,AAPL,FALSE,,,,,
597,304357709,AAPL,OPT,2018/3/9,187.5,P,100,SMART,,USD,AAPL  180309P00187500,AAPL,FALSE,,,,,
598,304357715,AAPL,OPT,2018/3/9,190,P,100,SMART,,USD,AAPL  180309P00190000,AAPL,FALSE,,,,,
599,304357718,AAPL,OPT,2018/3/9,192.5,P,100,SMART,,USD,AAPL  180309P00192500,AAPL,FALSE,,,,,
600,304357721,AAPL,OPT,2018/3/9,195,P,100,SMART,,USD,AAPL  180309P00195000,AAPL,FALSE,,,,,
601,304357724,AAPL,OPT,2018/3/9,197.5,P,100,SMART,,USD,AAPL  180309P00197500,AAPL,FALSE,,,,,
602,304357728,AAPL,OPT,2018/3/9,200,P,100,SMART,,USD,AAPL  180309P00200000,AAPL,FALSE,,,,,
603,304357733,AAPL,OPT,2018/3/9,202.5,P,100,SMART,,USD,AAPL  180309P00202500,AAPL,FALSE,,,,,
604,304357738,AAPL,OPT,2018/3/9,205,P,100,SMART,,USD,AAPL  180309P00205000,AAPL,FALSE,,,,,
605,304357743,AAPL,OPT,2018/3/9,207.5,P,100,SMART,,USD,AAPL  180309P00207500,AAPL,FALSE,,,,,
606,304357745,AAPL,OPT,2018/3/9,210,P,100,SMART,,USD,AAPL  180309P00210000,AAPL,FALSE,,,,,
607,305214608,AAPL,OPT,2018/3/9,143,C,100,SMART,,USD,AAPL  180309C00143000,AAPL,FALSE,,,,,
608,305214613,AAPL,OPT,2018/3/9,144,C,100,SMART,,USD,AAPL  180309C00144000,AAPL,FALSE,,,,,
609,305214618,AAPL,OPT,2018/3/9,145,C,100,SMART,,USD,AAPL  180309C00145000,AAPL,FALSE,,,,,
